TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.6123829565037,Customer 1 arrives,2,8,300.0
119.57846036437083,Bike returned,-4,12,300.0
119.52171014024981,Customer 2 arrives,1,11,300.0
119.04530085980275,Customer 3 arrives,3,8,303.75
118.56535479270893,Customer 2 arrives,1,7,303.75
118.38910989714206,Customer 1 arrives,3,4,303.75
118.11693219833401,Customer 3 arrives,4,0,308.75
118.02218992370327,Bike returned,-6,6,308.75
117.32753916415463,Customer 2 arrives,3,3,308.75
117.17735316071402,Customer 3 arrives,1,2,310.0
117.14250543005592,Customer 1 arrives,1,1,310.0
117.13747911188116,Bike returned,-6,7,310.0
116.6256071614332,Customer 1 arrives,1,6,310.0
116.54998273210336,Customer 3 arrives,0,6,310.0
116.34714731822633,Customer 2 arrives,1,5,310.0
116.0286884583333,Bike returned,-9,14,310.0
115.44215066263271,Customer 1 arrives,3,11,310.0
115.39871349074403,Customer 2 arrives,1,10,310.0
115.1401490245405,Bike returned,-6,16,310.0
115.0066959222109,Customer 3 arrives,4,12,315.0
114.46745611031287,Customer 2 arrives,0,12,315.0
114.32206406248221,Bike returned,-6,18,315.0
114.02664575180751,Customer 3 arrives,3,15,318.75
114.00456449657304,Customer 1 arrives,3,12,318.75
113.60237972112607,Customer 2 arrives,0,12,318.75
113.45819718675142,Bike returned,-3,15,318.75
113.25389193255545,Customer 1 arrives,1,14,318.75
113.12155077856279,Customer 3 arrives,3,11,322.5
112.84675096372156,Customer 2 arrives,0,11,322.5
112.38635930601818,Bike returned,-6,17,322.5
112.06651248993238,Customer 3 arrives,3,14,326.25
112.00070529850728,Customer 1 arrives,2,12,326.25
111.74805549974684,Bike returned,-2,14,326.25
111.13850760777267,Customer 1 arrives,5,9,326.25
111.05836063708732,Customer 2 arrives,1,8,326.25
111.0290746523925,Customer 3 arrives,5,3,332.5
110.73720468965448,Customer 3 arrives,3,0,336.25
110.59051261013934,Customer 2 arrives,0,0,335.75
110.41885223156875,Customer 1 arrives,0,0,332.75
110.00876688318479,Bike returned,-6,6,332.75
109.4247272253911,Customer 1 arrives,3,3,332.75
109.24066435418652,Customer 2 arrives,1,2,332.75
109.19246195021005,Bike returned,-5,7,332.75
109.15286901595131,Customer 3 arrives,4,3,337.75
108.36760691158601,Customer 2 arrives,1,2,337.75
108.2844372391611,Customer 1 arrives,0,2,337.75
108.1018329085341,Bike returned,-5,7,337.75
108.03235206309976,Customer 3 arrives,5,2,344.0
107.54692833749039,Customer 2 arrives,1,1,344.0
107.40751255116464,Customer 1 arrives,1,0,344.0
107.15846286421223,Bike returned,-2,2,344.0
107.02196314503392,Customer 3 arrives,1,1,345.25
106.70670423678271,Customer 2 arrives,1,0,344.5
106.50776087744855,Customer 3 arrives,0,0,344.5
106.21051125087966,Bike returned,-2,2,344.5
106.06821771223994,Customer 1 arrives,2,0,344.5
105.61158486996854,Customer 1 arrives,0,0,338.5
105.34724183833877,Customer 2 arrives,0,0,338.5
105.25803022497223,Customer 3 arrives,0,0,338.5
105.16881015543159,Bike returned,-5,5,338.5
104.43118870109237,Customer 2 arrives,1,4,338.5
104.14735515088901,Customer 1 arrives,4,0,338.5
104.11830424808963,Customer 3 arrives,0,0,338.5
104.04170700816057,Bike returned,-7,7,338.5
103.44142712751446,Customer 2 arrives,0,7,338.5
103.30425069657088,Customer 1 arrives,1,6,338.5
103.19754447298702,Customer 3 arrives,6,0,346.0
103.18483989579883,Bike returned,-13,13,346.0
102.35758902157092,Customer 3 arrives,5,8,352.25
102.27504230390636,Customer 1 arrives,8,0,352.25
102.09501350370249,Customer 2 arrives,0,0,352.0
102.04082248324492,Bike returned,-7,7,352.0
101.76242818475907,Customer 2 arrives,1,6,352.0
101.170995472496,Customer 1 arrives,5,1,352.0
