TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.15500787863112,Customer 3 arrives,5,5,306.25
119.12779196619027,Customer 1 arrives,5,0,305.25
119.12720230998494,Bike returned,-6,6,305.25
119.09234313262245,Customer 2 arrives,1,5,305.25
118.16922744735857,Customer 1 arrives,1,4,305.25
118.01359986331909,Customer 3 arrives,4,0,310.25
118.01351673734862,Bike returned,-10,10,310.25
118.00702265743867,Customer 2 arrives,0,10,310.25
117.093058711648,Customer 2 arrives,0,10,310.25
117.04109441671852,Customer 3 arrives,3,7,314.0
117.0376707067153,Bike returned,-4,11,314.0
117.0086376699252,Customer 1 arrives,2,9,314.0
116.05051110099423,Customer 3 arrives,3,6,317.75
116.03636769670179,Customer 1 arrives,5,1,317.75
116.02992361899904,Customer 2 arrives,0,1,317.75
116.0223512531106,Bike returned,-3,4,317.75
115.12854190662762,Customer 2 arrives,2,2,317.75
115.0596865956164,Customer 1 arrives,1,1,317.75
115.05531356925239,Customer 3 arrives,1,0,319.0
115.04241035966913,Bike returned,-7,7,319.0
114.19225898060466,Bike returned,-4,11,319.0
114.09150030774984,Customer 1 arrives,2,9,319.0
114.03043356451533,Customer 3 arrives,5,4,325.25
114.0064636969795,Customer 2 arrives,3,1,325.25
113.16148348617324,Customer 3 arrives,1,0,326.5
113.07453490102388,Customer 2 arrives,0,0,326.5
113.03413011352103,Bike returned,-3,3,326.5
113.02810149226357,Customer 1 arrives,3,0,326.5
112.21406853767684,Customer 1 arrives,0,0,323.5
112.08327331690303,Customer 2 arrives,0,0,323.5
112.05337830566967,Bike returned,-9,9,323.5
112.03345588056199,Customer 3 arrives,5,4,329.75
111.23293187168694,Bike returned,-6,10,329.75
111.08193018326864,Customer 3 arrives,4,6,334.75
111.05098347646499,Customer 1 arrives,6,0,333.75
111.0074610713097,Customer 2 arrives,0,0,333.0
110.03723951187962,Customer 2 arrives,0,0,332.75
110.01684594142463,Bike returned,-6,6,332.75
110.01507796768111,Customer 3 arrives,3,3,336.5
110.003222528519,Customer 1 arrives,2,1,336.5
109.01363989465106,Bike returned,-6,7,336.5
109.01349164591626,Customer 1 arrives,3,4,336.5
109.00541210382376,Customer 3 arrives,3,1,340.25
109.00422371129399,Customer 2 arrives,1,0,340.0
108.10389705583435,Customer 2 arrives,0,0,339.5
108.02639660190763,Customer 3 arrives,0,0,339.5
108.01270085709135,Customer 1 arrives,0,0,335.5
108.00525892736822,Bike returned,-9,9,335.5
107.16032750703145,Customer 3 arrives,2,7,338.0
107.06770670864415,Bike returned,-7,14,338.0
107.01727485868888,Customer 2 arrives,1,13,338.0
