TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.99691416852227,Customer 2 arrives,0,10,300.0
119.2239762848372,Customer 1 arrives,6,4,300.0
119.19517067073433,Bike returned,-10,14,300.0
119.0937554156572,Customer 3 arrives,1,13,301.25
118.53989209884487,Customer 1 arrives,2,11,301.25
118.52334519632944,Customer 2 arrives,1,10,301.25
118.4948422016207,Customer 3 arrives,7,3,310.0
118.04177594118444,Bike returned,-5,8,310.0
117.303775519317,Bike returned,-3,11,310.0
117.10699377375198,Customer 2 arrives,1,10,310.0
117.05465980692523,Customer 1 arrives,1,9,310.0
117.04593713685692,Customer 3 arrives,2,7,312.5
116.75942451724994,Customer 2 arrives,0,7,312.5
116.11269161811153,Customer 3 arrives,3,4,316.25
116.01213619769347,Bike returned,-4,8,316.25
116.00437670567993,Customer 1 arrives,2,6,316.25
115.31526491475455,Customer 2 arrives,1,5,316.25
115.30862378544711,Customer 3 arrives,5,0,322.5
115.13722723830413,Customer 1 arrives,0,0,317.5
115.01484384413273,Bike returned,-4,4,317.5
114.34484683876966,Customer 2 arrives,3,1,317.5
114.26556393708118,Bike returned,-4,5,317.5
114.12860159826707,Customer 3 arrives,5,0,323.75
114.01214755023446,Customer 1 arrives,0,0,316.75
113.76001685278743,Customer 2 arrives,0,0,316.5
113.2948242443638,Customer 1 arrives,0,0,308.5
113.03579617166668,Bike returned,-3,3,308.5
113.02225141604556,Customer 3 arrives,3,0,312.25
112.24151471789371,Customer 3 arrives,0,0,312.25
112.24034080131098,Bike returned,-3,3,312.25
112.17720122328717,Customer 1 arrives,1,2,312.25
112.10940911752922,Customer 2 arrives,1,1,312.25
111.26259697604974,Customer 2 arrives,0,1,312.25
111.09502339575126,Bike returned,-5,6,312.25
111.08003048423103,Customer 3 arrives,3,3,316.0
111.01996120492264,Customer 1 arrives,2,1,316.0
110.70594567316469,Customer 2 arrives,1,0,316.0
110.26547413492995,Bike returned,-9,9,316.0
110.24220477458765,Customer 3 arrives,6,3,323.5
110.20356238314861,Customer 1 arrives,0,3,323.5
109.3073778184946,Customer 2 arrives,0,3,323.5
109.04295327707467,Customer 3 arrives,2,1,326.0
109.02004198584035,Customer 1 arrives,1,0,325.0
109.00934716254629,Bike returned,-6,6,325.0
108.68684626753021,Customer 1 arrives,1,5,325.0
108.50007336088554,Customer 2 arrives,0,5,325.0
108.12051616261165,Customer 3 arrives,3,2,328.75
108.03561898232684,Bike returned,-11,13,328.75
107.9053735743866,Customer 1 arrives,5,8,328.75
107.71145730865985,Customer 2 arrives,1,7,328.75
107.44206783029094,Customer 3 arrives,1,6,330.0
107.19150645488261,Bike returned,-6,12,330.0
106.76977156327072,Customer 2 arrives,3,9,330.0
106.22192812610659,Customer 1 arrives,2,7,330.0
106.02817476730931,Bike returned,-9,16,330.0
106.02689799087828,Customer 3 arrives,5,11,336.25
105.32706482177291,Customer 1 arrives,4,7,336.25
105.29683792500512,Bike returned,-8,15,336.25
105.18560716280385,Customer 3 arrives,3,12,340.0
105.06558563512078,Customer 2 arrives,1,11,340.0
104.27429155136534,Customer 1 arrives,3,8,340.0
104.19286884350042,Customer 2 arrives,3,5,340.0
104.08335656502167,Bike returned,-6,11,340.0
104.01326009433353,Customer 3 arrives,5,6,346.25
103.58713034548964,Customer 2 arrives,0,6,346.25
103.30212833509015,Customer 1 arrives,6,0,346.25
103.18922687058244,Bike returned,-7,7,346.25
103.15014580672178,Customer 3 arrives,2,5,348.75
102.43977627750877,Customer 3 arrives,5,0,355.0
102.38145328612036,Customer 1 arrives,0,0,352.0
102.24592973157006,Customer 2 arrives,0,0,351.25
102.07021370424432,Bike returned,-4,4,351.25
101.73861921240714,Bike returned,-5,9,351.25
101.27982158383763,Customer 3 arrives,8,1,361.25
101.05426654909235,Customer 1 arrives,1,0,358.25
101.00820844817392,Customer 2 arrives,0,0,358.0
100.80174809157941,Customer 3 arrives,0,0,358.0
100.79496402024928,Customer 1 arrives,0,0,356.0
100.39066071669447,Bike returned,-12,12,356.0
100.01294697132752,Customer 2 arrives,1,11,356.0
99.51126397769222,Bike returned,-7,18,356.0
99.41909715001186,Customer 2 arrives,0,18,356.0
99.30319071890675,Customer 1 arrives,2,16,356.0
99.12591991658846,Customer 3 arrives,0,16,356.0
98.77002300006404,Customer 2 arrives,3,13,356.0
98.18863226240774,Customer 3 arrives,6,7,363.5
98.08409660309366,Bike returned,-6,13,363.5
98.02260134876569,Customer 1 arrives,3,10,363.5
97.57016089435287,Customer 2 arrives,1,9,363.5
97.53847020139098,Customer 1 arrives,4,5,363.5
97.19872497599914,Customer 3 arrives,5,0,369.75
97.18790214322594,Bike returned,-7,7,369.75
96.21487512046606,Customer 1 arrives,2,5,369.75
96.15862667273576,Customer 2 arrives,1,4,369.75
96.06534591674242,Bike returned,-3,7,369.75
96.02656320938662,Customer 3 arrives,4,3,374.75
95.36166103240471,Customer 3 arrives,2,1,377.25
95.3341419216243,Customer 1 arrives,1,0,375.25
95.23561123068686,Bike returned,-9,9,375.25
95.19874301337637,Customer 2 arrives,0,9,375.25
94.38627533208066,Bike returned,-7,16,375.25
94.19167969618587,Customer 1 arrives,3,13,375.25
94.16841643158936,Customer 2 arrives,0,13,375.25
94.06779126753051,Customer 3 arrives,2,11,377.75
93.70859097753566,Customer 2 arrives,0,11,377.75
93.49935770639179,Customer 3 arrives,2,9,380.25
93.44461114543296,Customer 1 arrives,4,5,380.25
93.00057153123689,Bike returned,-4,9,380.25
92.96247647652332,Customer 2 arrives,0,9,380.25
92.45678873441935,Bike returned,-6,15,380.25
92.22322261700359,Customer 1 arrives,2,13,380.25
92.01868567523451,Customer 3 arrives,3,10,384.0
91.34426857518521,Customer 2 arrives,1,9,384.0
91.33318178917882,Customer 1 arrives,6,3,384.0
91.30997673265635,Customer 3 arrives,3,0,387.75
91.29832420868264,Bike returned,-6,6,387.75
90.29345433929777,Bike returned,-5,11,387.75
90.18382636188865,Customer 2 arrives,0,11,387.75
90.02865043436675,Customer 1 arrives,2,9,387.75
90.02168888525873,Customer 3 arrives,3,6,391.5
89.58994495458325,Customer 2 arrives,0,6,391.5
89.34484278101802,Customer 3 arrives,6,0,399.0
89.18225827555686,Customer 1 arrives,0,0,393.0
89.03558280846723,Bike returned,-8,8,393.0
88.33729334963009,Customer 3 arrives,7,1,401.75
88.17378921595078,Bike returned,-8,9,401.75
88.13641530649008,Customer 1 arrives,2,7,401.75
88.04013899667198,Customer 2 arrives,4,3,401.75
87.89899424821668,Customer 1 arrives,2,1,401.75
87.37162585304644,Customer 3 arrives,1,0,403.0
87.24025842625797,Customer 2 arrives,0,0,402.75
87.14565442623532,Bike returned,-6,6,402.75
86.27762761767724,Customer 3 arrives,5,1,409.0
86.12735920588999,Customer 2 arrives,1,0,409.0
86.1083437906875,Bike returned,-8,8,409.0
86.08286775324042,Customer 1 arrives,6,2,409.0
85.99688554748565,Customer 3 arrives,2,0,411.5
85.35051333501737,Customer 2 arrives,0,0,411.0
85.14239324683378,Bike returned,-3,3,411.0
85.10749567479917,Customer 1 arrives,3,0,408.0
84.94176042172688,Customer 2 arrives,0,0,407.75
84.47559783937037,Customer 1 arrives,0,0,406.75
84.4261768302768,Customer 3 arrives,0,0,406.75
84.29864841523217,Bike returned,-8,8,406.75
83.78133425842194,Customer 2 arrives,1,7,406.75
83.0711932375196,Bike returned,-6,13,406.75
83.02207281504221,Customer 1 arrives,5,8,406.75
83.01072129866137,Customer 3 arrives,6,2,414.25
82.81938323669897,Customer 2 arrives,1,1,414.25
82.33352371274432,Bike returned,-6,7,414.25
82.27486281503889,Customer 3 arrives,4,3,419.25
82.10985196920743,Customer 1 arrives,3,0,419.25
81.65022252455854,Customer 2 arrives,0,0,419.25
81.4495696409106,Bike returned,-5,5,419.25
81.34529258407163,Customer 1 arrives,5,0,419.25
81.27373428944726,Customer 3 arrives,0,0,419.25
80.86253220840786,Customer 2 arrives,0,0,419.25
80.31207339189442,Customer 1 arrives,0,0,416.25
80.04661781512651,Bike returned,-3,3,416.25
80.00353271645882,Customer 3 arrives,3,0,420.0
79.63965289944713,Customer 1 arrives,0,0,417.0
79.37034845438953,Bike returned,-7,7,417.0
79.21197670514381,Customer 2 arrives,3,4,417.0
79.1993288755827,Customer 3 arrives,4,0,422.0
78.97198709916621,Customer 2 arrives,0,0,421.5
78.08886040859305,Customer 3 arrives,0,0,421.5
78.05520354506481,Customer 1 arrives,0,0,418.5
78.02360712291252,Bike returned,-4,4,418.5
77.62511872763439,Customer 2 arrives,2,2,418.5
77.34139361831717,Bike returned,-4,6,418.5
77.2485495033929,Customer 1 arrives,2,4,418.5
77.0854439518287,Customer 3 arrives,3,1,422.25
76.65700659908283,Customer 1 arrives,1,0,420.25
76.18861305606096,Bike returned,-7,7,420.25
76.1140438249497,Customer 2 arrives,2,5,420.25
76.06086254658419,Customer 3 arrives,2,3,422.75
75.93019199576786,Customer 2 arrives,0,3,422.75
75.48546710970629,Customer 3 arrives,3,0,426.5
75.18633518302022,Bike returned,-4,4,426.5
75.04048513136823,Customer 1 arrives,0,4,426.5
74.90931938664352,Customer 2 arrives,0,4,426.5
74.18895451342706,Customer 1 arrives,1,3,426.5
74.12383417183452,Bike returned,-5,8,426.5
74.02655396198395,Customer 3 arrives,7,1,435.25
73.46072053079408,Customer 2 arrives,0,1,435.25
73.3535966230233,Bike returned,-6,7,435.25
73.07015061624183,Customer 3 arrives,6,1,442.75
73.01888684917148,Customer 1 arrives,1,0,440.75
72.31714363275843,Customer 1 arrives,0,0,436.75
72.18845612131817,Customer 3 arrives,0,0,436.75
72.10250299718336,Customer 2 arrives,0,0,436.75
72.0045433677401,Bike returned,-5,5,436.75
71.75767295274854,Customer 3 arrives,5,0,443.0
71.26614870830619,Customer 2 arrives,0,0,441.75
71.2292728325175,Bike returned,-7,7,441.75
71.14345200918898,Customer 1 arrives,3,4,441.75
70.32135527408245,Customer 2 arrives,2,2,441.75
70.09388497147438,Bike returned,-7,9,441.75
70.09296201616849,Customer 1 arrives,0,9,441.75
70.03660413707196,Customer 3 arrives,4,5,446.75
69.48919315997232,Customer 2 arrives,0,5,446.75
69.15850638356196,Customer 3 arrives,2,3,449.25
69.11889419086083,Bike returned,-4,7,449.25
69.06777454829421,Customer 1 arrives,1,6,449.25
68.74697568553378,Bike returned,-3,9,449.25
68.71155011279721,Customer 2 arrives,1,8,449.25
68.23324949384744,Customer 3 arrives,3,5,453.0
68.00124406462288,Customer 1 arrives,2,3,453.0
67.76441984762897,Customer 2 arrives,1,2,453.0
67.75983299287788,Customer 3 arrives,2,0,455.5
67.11515223596072,Customer 1 arrives,0,0,453.5
67.01416964961952,Bike returned,-10,10,453.5
66.52140078986695,Customer 2 arrives,0,10,453.5
66.35764809944973,Customer 3 arrives,2,8,456.0
66.30451013713792,Customer 1 arrives,1,7,456.0
66.07666470985946,Bike returned,-4,11,456.0
65.46915565064533,Customer 3 arrives,5,6,462.25
65.36453483988312,Customer 1 arrives,4,2,462.25
65.14851420186248,Bike returned,-9,11,462.25
65.1040475274909,Customer 2 arrives,0,11,462.25
64.5204548225512,Customer 1 arrives,2,9,462.25
64.22176933723911,Customer 2 arrives,2,7,462.25
64.08909636600669,Bike returned,-2,9,462.25
64.04220900203767,Customer 3 arrives,5,4,468.5
63.72442983690522,Customer 1 arrives,1,3,468.5
63.346602280559054,Customer 3 arrives,3,0,472.25
63.16380138973522,Bike returned,-9,9,472.25
63.142376889607554,Customer 2 arrives,1,8,472.25
62.44483304512899,Customer 2 arrives,2,6,472.25
62.30864783967861,Customer 3 arrives,3,3,476.0
62.27538421538477,Bike returned,-4,7,476.0
62.236384832867316,Customer 1 arrives,1,6,476.0
61.71743047771188,Customer 2 arrives,1,5,476.0
61.2400021156552,Customer 3 arrives,3,2,479.75
61.127795872766924,Bike returned,-8,10,479.75
61.050590665786956,Customer 1 arrives,2,8,479.75
60.1524390679154,Customer 3 arrives,2,6,482.25
60.10110674044362,Customer 2 arrives,1,5,482.25
60.094517882432584,Customer 1 arrives,3,2,482.25
60.000335493220625,Bike returned,-6,8,482.25
59.965841206740954,Customer 2 arrives,1,7,482.25
59.35085107307007,Bike returned,-8,15,482.25
59.34856522028521,Customer 1 arrives,0,15,482.25
59.063798664917414,Customer 3 arrives,5,10,488.5
58.69491803078669,Customer 2 arrives,0,10,488.5
58.20893460417338,Customer 3 arrives,7,3,497.25
58.14038797614497,Bike returned,-7,10,497.25
58.015521549025536,Customer 1 arrives,5,5,497.25
57.24672783685921,Customer 2 arrives,1,4,497.25
57.11792958115386,Customer 3 arrives,4,0,502.25
57.08787622532237,Customer 1 arrives,0,0,496.25
57.017230544045155,Bike returned,-9,9,496.25
56.183013557134764,Customer 2 arrives,1,8,496.25
56.150353479247485,Customer 3 arrives,3,5,500.0
56.098829670328755,Customer 1 arrives,3,2,500.0
56.07077798831268,Bike returned,-4,6,500.0
55.79859108588165,Customer 2 arrives,0,6,500.0
55.39702999972164,Customer 1 arrives,3,3,500.0
55.14870252914901,Customer 3 arrives,2,1,502.5
55.0528951314148,Bike returned,-5,6,502.5
54.80244757948563,Customer 2 arrives,2,4,502.5
54.249524511748085,Customer 1 arrives,3,1,502.5
54.240129478281844,Customer 3 arrives,1,0,503.75
54.19645436058192,Bike returned,-6,6,503.75
53.4572582729467,Customer 2 arrives,0,6,503.75
53.39479881375687,Customer 3 arrives,3,3,507.5
53.38442783067224,Customer 1 arrives,2,1,507.5
53.01634238685967,Bike returned,-5,6,507.5
52.923278541491925,Customer 1 arrives,3,3,507.5
52.488531601778156,Bike returned,-9,12,507.5
52.32533639162371,Customer 3 arrives,2,10,510.0
52.10041317116448,Customer 2 arrives,2,8,510.0
