TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.13779997898314,Customer 1 arrives,3,7,300.0
119.09489452593405,Customer 3 arrives,6,1,307.5
119.02517472023712,Bike returned,-7,8,307.5
119.01127798159558,Customer 2 arrives,1,7,307.5
118.10299619425255,Customer 2 arrives,2,5,307.5
118.09601588089066,Bike returned,-6,11,307.5
118.04267370608021,Customer 1 arrives,6,5,307.5
118.01298711579844,Customer 3 arrives,5,0,313.75
117.1151741416245,Customer 2 arrives,0,0,313.0
117.04279191680808,Customer 1 arrives,0,0,310.0
117.02687915635853,Customer 3 arrives,0,0,310.0
117.02449200278919,Bike returned,-5,5,310.0
116.26344453526751,Bike returned,-5,10,310.0
116.1926774674356,Customer 1 arrives,2,8,310.0
116.0114917520684,Customer 2 arrives,0,8,310.0
116.01038434715989,Customer 3 arrives,5,3,316.25
115.10929094162641,Bike returned,-5,8,316.25
115.06359521536014,Customer 1 arrives,3,5,316.25
115.05747462470092,Customer 2 arrives,2,3,316.25
115.00266564815598,Customer 3 arrives,3,0,320.0
114.08290952350738,Customer 1 arrives,0,0,319.0
114.02743946234722,Customer 3 arrives,0,0,319.0
114.01574207415322,Customer 2 arrives,0,0,318.75
114.0039336740294,Bike returned,-7,7,318.75
113.0976381237218,Bike returned,-8,15,318.75
113.08720715516029,Customer 3 arrives,6,9,326.25
113.08267281493704,Customer 2 arrives,1,8,326.25
113.05420352160074,Customer 1 arrives,3,5,326.25
112.08538788733465,Customer 2 arrives,0,5,326.25
112.06638760356452,Customer 1 arrives,0,5,326.25
112.04912848897207,Customer 3 arrives,2,3,328.75
112.03926029265077,Bike returned,-7,10,328.75
111.25147471772257,Customer 2 arrives,0,10,328.75
111.07678402697867,Customer 3 arrives,1,9,330.0
111.02568557609663,Customer 1 arrives,3,6,330.0
111.00715498634901,Bike returned,-3,9,330.0
110.34202173054865,Bike returned,-3,12,330.0
110.22978670964558,Customer 3 arrives,3,9,333.75
110.03663828049217,Customer 1 arrives,3,6,333.75
110.00686776555895,Customer 2 arrives,3,3,333.75
109.043359292247,Bike returned,-5,8,333.75
109.02311956031915,Customer 1 arrives,6,2,333.75
109.01457416933467,Customer 3 arrives,2,0,336.25
109.01454199008194,Customer 2 arrives,0,0,336.25
108.09749217889178,Customer 1 arrives,0,0,334.25
108.05038421977652,Bike returned,-3,3,334.25
108.04357823750139,Customer 3 arrives,3,0,338.0
108.01667048971483,Customer 2 arrives,0,0,338.0
107.0891060019027,Customer 2 arrives,0,0,337.25
107.06016762584258,Customer 1 arrives,0,0,333.25
107.04587863914712,Bike returned,-6,6,333.25
107.01960754080862,Customer 3 arrives,3,3,337.0
106.08960893163628,Bike returned,-5,8,337.0
106.06847507693728,Customer 2 arrives,0,8,337.0
106.06704756427756,Customer 3 arrives,0,8,337.0
106.00737695947146,Customer 1 arrives,2,6,337.0
105.04105608241932,Bike returned,-12,18,337.0
105.03526641108125,Customer 2 arrives,4,14,337.0
105.02822314484294,Customer 1 arrives,2,12,337.0
105.00795634598573,Customer 3 arrives,3,9,340.75
104.14495523582737,Customer 1 arrives,2,7,340.75
104.07028800230148,Customer 3 arrives,4,3,345.75
104.03233814181304,Bike returned,-4,7,345.75
104.00475865559945,Customer 2 arrives,1,6,345.75
103.15667564463739,Customer 2 arrives,0,6,345.75
103.15374254237938,Bike returned,-7,13,345.75
103.14870215521199,Customer 1 arrives,4,9,345.75
103.01920070212408,Customer 3 arrives,5,4,352.0
102.26494891236884,Customer 2 arrives,1,3,352.0
102.11877020670441,Bike returned,-3,6,352.0
102.06523444512871,Customer 1 arrives,3,3,352.0
102.05872814333878,Customer 3 arrives,3,0,355.75
101.09146839218062,Customer 1 arrives,0,0,349.75
101.08966140838075,Bike returned,-6,6,349.75
101.05539401972504,Customer 2 arrives,0,6,349.75
101.03648839739807,Customer 3 arrives,4,2,354.75
100.14814296993222,Bike returned,-6,8,354.75
100.12171541082186,Customer 1 arrives,5,3,354.75
100.03130622121964,Customer 3 arrives,3,0,358.5
100.00588969396222,Customer 2 arrives,0,0,358.25
99.16570038249478,Customer 1 arrives,0,0,354.25
99.04994747401044,Bike returned,-5,5,354.25
99.03953534691124,Customer 3 arrives,3,2,358.0
99.00620540816035,Customer 2 arrives,2,0,357.75
98.12286065920122,Customer 2 arrives,0,0,357.25
98.05556186928474,Customer 3 arrives,0,0,357.25
98.05183420442086,Bike returned,-2,2,357.25
98.04548986311664,Customer 1 arrives,2,0,357.25
97.22899210589996,Bike returned,-8,8,357.25
97.10528420148569,Customer 1 arrives,7,1,357.25
97.03058322234072,Customer 2 arrives,1,0,356.75
97.0158424410149,Customer 3 arrives,0,0,356.75
96.08850461728497,Customer 2 arrives,0,0,356.75
96.07071374767965,Customer 1 arrives,0,0,350.75
96.028795294208,Customer 3 arrives,0,0,350.75
96.00652628913059,Bike returned,-5,5,350.75
95.02837173980039,Customer 1 arrives,2,3,350.75
95.02239705999219,Customer 2 arrives,1,2,350.75
95.01454166095935,Bike returned,-7,9,350.75
95.01368824410385,Customer 3 arrives,6,3,358.25
94.06153221202196,Customer 2 arrives,1,2,358.25
94.05541665744765,Customer 3 arrives,0,2,358.25
94.05298065331475,Bike returned,-3,5,358.25
94.04427113008809,Customer 1 arrives,5,0,357.25
93.21146320071908,Customer 3 arrives,0,0,357.25
93.19328510062333,Customer 1 arrives,0,0,355.25
93.0927536157973,Customer 2 arrives,0,0,355.25
93.00422706678341,Bike returned,-4,4,355.25
92.17418222361705,Customer 1 arrives,3,1,355.25
92.12538290043567,Customer 3 arrives,1,0,356.5
92.10013485729837,Customer 2 arrives,0,0,355.75
92.0341051536685,Bike returned,-7,7,355.75
91.29268027762032,Bike returned,-6,13,355.75
91.10011570984841,Customer 3 arrives,2,11,358.25
91.05924832050367,Customer 2 arrives,1,10,358.25
91.01878871837064,Customer 1 arrives,4,6,358.25
90.11848294141532,Customer 3 arrives,2,4,360.75
90.05742117332164,Customer 1 arrives,4,0,359.75
90.0289051671023,Customer 2 arrives,0,0,359.5
90.02587534954384,Bike returned,-4,4,359.5
89.17956158138477,Customer 2 arrives,1,3,359.5
89.06196113526337,Bike returned,-2,5,359.5
89.00573320722913,Customer 3 arrives,4,1,364.5
89.00016914985409,Customer 1 arrives,1,0,360.5
88.08261234901244,Bike returned,-6,6,360.5
88.0817222730078,Customer 2 arrives,0,6,360.5
88.0412648641343,Customer 1 arrives,2,4,360.5
88.0063025427964,Customer 3 arrives,2,2,363.0
87.17518125931188,Customer 1 arrives,2,0,359.0
87.05772544703848,Bike returned,-6,6,359.0
87.0191234076324,Customer 3 arrives,4,2,364.0
87.00732741599302,Customer 2 arrives,0,2,364.0
86.26474564961953,Customer 1 arrives,2,0,364.0
86.0237095580793,Customer 3 arrives,0,0,364.0
86.01895400376219,Customer 2 arrives,0,0,363.75
86.01719963668019,Bike returned,-6,6,363.75
85.26731299664155,Customer 2 arrives,1,5,363.75
85.15608684714623,Customer 1 arrives,3,2,363.75
85.05960958519186,Bike returned,-4,6,363.75
85.01586863166968,Customer 3 arrives,4,2,368.75
84.07603550946986,Customer 2 arrives,1,1,368.75
84.01675202937658,Customer 1 arrives,1,0,368.75
84.01297731996182,Bike returned,-3,3,368.75
84.00066977622684,Customer 3 arrives,3,0,372.5
83.0497219802494,Customer 3 arrives,0,0,372.5
83.02577982779103,Bike returned,-7,7,372.5
83.0183125317638,Customer 1 arrives,3,4,372.5
83.009237328456,Customer 2 arrives,0,4,372.5
82.0790841023158,Customer 3 arrives,4,0,377.5
82.0417861054432,Customer 2 arrives,0,0,377.5
82.02132578299141,Customer 1 arrives,0,0,372.5
82.01542837717908,Bike returned,-9,9,372.5
81.13423719889998,Customer 2 arrives,0,9,372.5
81.08710762210644,Bike returned,-2,11,372.5
81.07124714594686,Customer 3 arrives,2,9,375.0
81.05080114438371,Customer 1 arrives,6,3,375.0
80.13003424973849,Customer 2 arrives,1,2,375.0
80.02634276068827,Bike returned,-9,11,375.0
80.00686068989673,Customer 3 arrives,2,9,377.5
80.00355955977709,Customer 1 arrives,2,7,377.5
79.06558419193202,Bike returned,-10,17,377.5
79.04516424130776,Customer 2 arrives,0,17,377.5
79.0430598535293,Customer 1 arrives,2,15,377.5
79.00975335098366,Customer 3 arrives,2,13,380.0
78.09056849047701,Customer 1 arrives,4,9,380.0
78.07910411041966,Bike returned,-5,14,380.0
78.03035046792715,Customer 3 arrives,6,8,387.5
78.0008230680305,Customer 2 arrives,0,8,387.5
77.33633852730091,Customer 3 arrives,4,4,392.5
77.07214673036563,Bike returned,-8,12,392.5
77.03998169532196,Customer 1 arrives,2,10,392.5
77.01381621264024,Customer 2 arrives,2,8,392.5
76.09985683068388,Customer 1 arrives,3,5,392.5
76.06559436132967,Customer 2 arrives,0,5,392.5
76.02035162525144,Bike returned,-4,9,392.5
76.01455467954877,Customer 3 arrives,4,5,397.5
75.09306995546393,Customer 3 arrives,3,2,401.25
75.07951065119744,Customer 2 arrives,2,0,401.25
75.01233306789852,Bike returned,-5,5,401.25
75.00395175134157,Customer 1 arrives,4,1,401.25
74.10398276178584,Customer 1 arrives,1,0,400.25
74.04630197662328,Customer 2 arrives,0,0,399.75
74.02184753246209,Bike returned,-8,8,399.75
74.00926453581792,Customer 3 arrives,3,5,403.5
73.10344788958608,Customer 2 arrives,1,4,403.5
73.0592504736083,Customer 1 arrives,0,4,403.5
73.04040658510121,Bike returned,-9,13,403.5
73.01672671806783,Customer 3 arrives,6,7,411.0
72.1359972424532,Customer 3 arrives,1,6,412.25
72.0493982241207,Bike returned,-5,11,412.25
72.0296657225884,Customer 1 arrives,3,8,412.25
72.00416288258992,Customer 2 arrives,1,7,412.25
71.15338057844546,Customer 1 arrives,3,4,412.25
71.07276109727009,Customer 3 arrives,4,0,417.25
71.07237966539442,Customer 2 arrives,0,0,417.25
71.00130805929409,Bike returned,-4,4,417.25
70.21243285844336,Customer 1 arrives,4,0,415.25
70.15565503506508,Customer 3 arrives,0,0,415.25
70.04676623744466,Bike returned,-1,1,415.25
70.02906064944142,Customer 2 arrives,0,1,415.25
69.08341443908432,Customer 3 arrives,1,0,416.5
69.01760109778638,Customer 2 arrives,0,0,416.5
69.00452815264417,Bike returned,-8,8,416.5
69.00115235001972,Customer 1 arrives,4,4,416.5
68.05426632715998,Bike returned,-6,10,416.5
68.04424593918634,Customer 1 arrives,0,10,416.5
68.0322116880898,Customer 2 arrives,2,8,416.5
68.0222281021989,Customer 3 arrives,6,2,424.0
67.35241081192353,Customer 1 arrives,2,0,420.0
67.06750086751222,Customer 3 arrives,0,0,420.0
67.0118913540021,Customer 2 arrives,0,0,419.75
67.00905389710448,Bike returned,-11,11,419.75
66.07582364707166,Bike returned,-4,15,419.75
66.0742683028946,Customer 3 arrives,5,10,426.0
66.03730521985865,Customer 2 arrives,1,9,426.0
66.01045838488614,Customer 1 arrives,3,6,426.0
65.0642468520054,Customer 2 arrives,1,5,426.0
65.06236165985808,Bike returned,-6,11,426.0
65.0155660805056,Customer 1 arrives,3,8,426.0
65.01336114154037,Customer 3 arrives,4,4,431.0
64.33971323396352,Customer 1 arrives,1,3,431.0
64.27373504129754,Customer 2 arrives,0,3,431.0
64.113223660918,Bike returned,-5,8,431.0
64.03673483771048,Customer 3 arrives,3,5,434.75
63.18595020343463,Customer 1 arrives,3,2,434.75
63.06638094585946,Bike returned,-5,7,434.75
63.05827877821213,Customer 3 arrives,4,3,439.75
63.017028799152556,Customer 2 arrives,3,0,439.25
62.07508565201862,Bike returned,-5,5,439.25
62.0697996834702,Customer 3 arrives,2,3,441.75
62.04387036220955,Customer 2 arrives,0,3,441.75
62.02526837069374,Customer 1 arrives,3,0,440.75
61.07338503452652,Customer 3 arrives,0,0,440.75
61.0201118882724,Bike returned,-6,6,440.75
61.00191117502572,Customer 2 arrives,2,4,440.75
61.001432963551196,Customer 1 arrives,4,0,439.75
60.109933562846685,Bike returned,-6,6,439.75
60.08623214352994,Customer 3 arrives,1,5,441.0
60.07283734688582,Customer 1 arrives,3,2,441.0
60.01192126529017,Customer 2 arrives,2,0,441.0
59.22996777024854,Customer 1 arrives,0,0,439.0
59.21191542690147,Customer 3 arrives,0,0,439.0
59.02956046079405,Bike returned,-9,9,439.0
59.014893444230935,Customer 2 arrives,1,8,439.0
58.135236887265116,Customer 1 arrives,4,4,439.0
58.03243067881323,Bike returned,-7,11,439.0
58.02917666720592,Customer 3 arrives,3,8,442.75
58.011819902354226,Customer 2 arrives,0,8,442.75
57.18595072419199,Customer 2 arrives,0,8,442.75
57.14387075984874,Bike returned,-4,12,442.75
57.05056831521093,Customer 1 arrives,3,9,442.75
57.02867459822786,Customer 3 arrives,4,5,447.75
56.200614704685535,Customer 2 arrives,1,4,447.75
56.13293076770673,Customer 1 arrives,2,2,447.75
56.11445045198843,Customer 3 arrives,2,0,450.25
56.00346228212543,Bike returned,-10,10,450.25
55.07147503969471,Customer 3 arrives,4,6,455.25
55.05505109088392,Customer 1 arrives,2,4,455.25
55.042694605336095,Customer 2 arrives,0,4,455.25
55.027989828706275,Bike returned,-5,9,455.25
54.08664224838663,Customer 1 arrives,6,3,455.25
54.06635499022844,Bike returned,-9,12,455.25
54.046230346019776,Customer 3 arrives,2,10,457.75
54.040127598479174,Customer 2 arrives,1,9,457.75
53.25934554565521,Customer 1 arrives,3,6,457.75
53.0633782439514,Customer 3 arrives,5,1,464.0
53.04844688631744,Customer 2 arrives,1,0,464.0
53.00925805693043,Bike returned,-9,9,464.0
52.39462195396125,Customer 1 arrives,1,8,464.0
52.15057340019117,Bike returned,-7,15,464.0
52.09016668486129,Customer 3 arrives,2,13,466.5
52.02550537646202,Customer 2 arrives,1,12,466.5
51.089608870923044,Bike returned,-7,19,466.5
51.04074000290547,Customer 1 arrives,7,12,466.5
51.02053659185727,Customer 2 arrives,0,12,466.5
51.00990122639338,Customer 3 arrives,1,11,467.75
50.17844818509866,Customer 3 arrives,3,8,471.5
50.026751670870816,Customer 1 arrives,5,3,471.5
50.01421987777203,Bike returned,-8,11,471.5
50.0031051412598,Customer 2 arrives,0,11,471.5
49.25054126993673,Customer 3 arrives,8,3,481.5
49.127973560834704,Bike returned,-8,11,481.5
49.08526691291224,Customer 1 arrives,1,10,481.5
49.00613529789035,Customer 2 arrives,2,8,481.5
48.14787258478962,Bike returned,-9,17,481.5
48.04653124901619,Customer 1 arrives,3,14,481.5
48.037484955824375,Customer 3 arrives,4,10,486.5
48.026730776293675,Customer 2 arrives,0,10,486.5
47.16734511079593,Customer 3 arrives,2,8,489.0
47.08698848365028,Customer 1 arrives,2,6,489.0
47.019095839387305,Customer 2 arrives,3,3,489.0
47.01560750037282,Bike returned,-8,11,489.0
46.08500288887101,Customer 1 arrives,2,9,489.0
46.011868574872715,Customer 3 arrives,2,7,491.5
46.01159840996111,Bike returned,-2,9,491.5
46.001980339434716,Customer 2 arrives,1,8,491.5
45.13115601584123,Customer 3 arrives,6,2,499.0
45.069632413314416,Customer 1 arrives,2,0,494.0
45.020475017750464,Customer 2 arrives,0,0,494.0
45.01229016311423,Bike returned,-6,6,494.0
44.04486110692317,Customer 2 arrives,0,6,494.0
44.01357931818532,Bike returned,-5,11,494.0
44.00584681339157,Customer 3 arrives,4,7,499.0
44.00479891820332,Customer 1 arrives,2,5,499.0
43.153946167382855,Bike returned,-4,9,499.0
43.08035559075125,Customer 2 arrives,0,9,499.0
43.031334981712966,Customer 1 arrives,5,4,499.0
43.01742900225063,Customer 3 arrives,4,0,504.0
42.11850668429057,Customer 2 arrives,0,0,503.5
42.10838986939501,Bike returned,-7,7,503.5
42.03573063786673,Customer 1 arrives,5,2,503.5
42.025967463585225,Customer 3 arrives,2,0,506.0
41.26225554445112,Customer 3 arrives,0,0,506.0
41.04238450131574,Bike returned,-5,5,506.0
41.03609342975905,Customer 1 arrives,2,3,506.0
41.01930413189196,Customer 2 arrives,0,3,506.0
40.11523117950082,Customer 3 arrives,3,0,509.75
40.08899778340418,Customer 1 arrives,0,0,507.75
40.06083096049518,Customer 2 arrives,0,0,507.25
40.03085412525249,Bike returned,-8,8,507.25
39.17710917749517,Customer 2 arrives,0,8,507.25
39.15257551838416,Bike returned,-8,16,507.25
39.11898933463375,Customer 1 arrives,2,14,507.25
39.10934022135379,Customer 3 arrives,6,8,514.75
38.069743653477914,Customer 1 arrives,3,5,514.75
38.0474954440753,Customer 3 arrives,3,2,518.5
38.040786361974,Customer 2 arrives,2,0,518.5
38.011075494803976,Bike returned,-2,2,518.5
37.04625313070585,Customer 2 arrives,0,2,518.5
37.01342607936192,Bike returned,-2,4,518.5
37.01055804066176,Customer 1 arrives,4,0,515.5
37.00175172321083,Customer 3 arrives,0,0,515.5
36.163397162859034,Bike returned,-11,11,515.5
36.16266997686085,Customer 3 arrives,4,7,520.5
36.08113790016589,Customer 2 arrives,1,6,520.5
36.020204249175706,Customer 1 arrives,3,3,520.5
35.367120170935,Customer 2 arrives,2,1,520.5
35.03677929233658,Bike returned,-5,6,520.5
35.0183787733042,Customer 3 arrives,5,1,526.75
35.00331089087574,Customer 1 arrives,1,0,522.75
34.15209004149372,Customer 2 arrives,0,0,522.75
34.08411583333681,Customer 1 arrives,0,0,518.75
34.07102788601487,Bike returned,-3,3,518.75
34.05411154735315,Customer 3 arrives,3,0,522.5
33.035641232639605,Customer 1 arrives,0,0,521.5
33.03350851899209,Customer 3 arrives,0,0,521.5
33.01457487170073,Customer 2 arrives,0,0,521.25
33.011737862323365,Bike returned,-7,7,521.25
32.19173156879856,Customer 1 arrives,2,5,521.25
32.063437234195746,Customer 2 arrives,2,3,521.25
32.034516949508955,Bike returned,-4,7,521.25
32.01312015788669,Customer 3 arrives,1,6,522.5
31.151471530892245,Bike returned,-7,13,522.5
31.05856775775424,Customer 2 arrives,1,12,522.5
31.055254815037657,Customer 3 arrives,3,9,526.25
31.040174616552214,Customer 1 arrives,5,4,526.25
30.10734633689232,Customer 3 arrives,4,0,531.25
30.05000130303896,Customer 2 arrives,0,0,531.0
30.011591737419963,Bike returned,-7,7,531.0
30.00615260161977,Customer 1 arrives,1,6,531.0
29.080414387395994,Bike returned,-11,17,531.0
29.05873620935081,Customer 3 arrives,7,10,539.75
29.024308726452045,Customer 2 arrives,1,9,539.75
29.023880611482543,Customer 1 arrives,1,8,539.75
28.253226474039504,Bike returned,-3,11,539.75
28.09868890011332,Customer 1 arrives,3,8,539.75
28.082268583395173,Customer 3 arrives,8,0,549.75
28.028509186729167,Customer 2 arrives,0,0,548.5
27.28364505160152,Customer 1 arrives,0,0,547.5
27.226949422072238,Customer 3 arrives,0,0,547.5
27.166329968449904,Customer 2 arrives,0,0,547.25
27.063477984098743,Bike returned,-9,9,547.25
26.063170101428923,Bike returned,-3,12,547.25
26.03960619073786,Customer 1 arrives,0,12,547.25
26.029953052139337,Customer 2 arrives,1,11,547.25
26.002967152988845,Customer 3 arrives,7,4,556.0
25.102813194309284,Customer 3 arrives,3,1,559.75
25.076583055199826,Customer 2 arrives,1,0,559.5
25.06766759861945,Customer 1 arrives,0,0,557.5
25.00405801097919,Bike returned,-3,3,557.5
24.159228484391697,Customer 3 arrives,1,2,558.75
24.070311336373578,Customer 2 arrives,0,2,558.75
24.066037544907466,Customer 1 arrives,2,0,556.75
24.0522165892019,Bike returned,-4,4,556.75
23.168930556049784,Bike returned,-4,8,556.75
23.089483239433985,Customer 2 arrives,1,7,556.75
23.08464175248571,Customer 1 arrives,4,3,556.75
23.007387650592797,Customer 3 arrives,3,0,560.5
22.034721267655783,Customer 3 arrives,0,0,560.5
22.030240924508117,Customer 1 arrives,0,0,559.5
22.017403970792664,Customer 2 arrives,0,0,559.0
22.013326071842755,Bike returned,-3,3,559.0
21.08883888684704,Customer 3 arrives,3,0,562.75
21.085812307362644,Customer 1 arrives,0,0,560.75
21.006010112448678,Customer 2 arrives,0,0,560.5
21.004108119293534,Bike returned,-6,6,560.5
20.177767685024644,Customer 1 arrives,3,3,560.5
20.1233975191385,Customer 2 arrives,0,3,560.5
20.084724965048963,Customer 3 arrives,3,0,564.25
20.024615529575307,Bike returned,-5,5,564.25
19.054488314470348,Customer 3 arrives,2,3,566.75
19.020511364761262,Customer 1 arrives,3,0,564.75
19.00495851331284,Bike returned,-4,4,564.75
19.00139254648719,Customer 2 arrives,1,3,564.75
18.085867615794257,Customer 2 arrives,0,3,564.75
18.038002515917764,Bike returned,-8,11,564.75
18.03346706795633,Customer 1 arrives,1,10,564.75
18.008151180775876,Customer 3 arrives,4,6,569.75
17.171677096901238,Bike returned,-3,9,569.75
17.06547318613548,Customer 1 arrives,3,6,569.75
17.032154787415568,Customer 2 arrives,1,5,569.75
17.02239367929904,Customer 3 arrives,5,0,576.0
16.0539314108087,Bike returned,-6,6,576.0
16.023860695758668,Customer 3 arrives,2,4,578.5
16.022686887001143,Customer 1 arrives,2,2,578.5
16.008745513443504,Customer 2 arrives,1,1,578.5
15.123554526494676,Customer 2 arrives,0,1,578.5
15.055744572196122,Bike returned,-6,7,578.5
15.036302977386576,Customer 3 arrives,6,1,586.0
15.004432119724083,Customer 1 arrives,1,0,585.0
14.126305493884608,Bike returned,-9,9,585.0
14.088975263721277,Customer 3 arrives,6,3,592.5
14.013032920827877,Customer 1 arrives,3,0,592.5
14.00907160432546,Customer 2 arrives,0,0,592.5
13.104293384407775,Customer 2 arrives,0,0,592.25
13.079044942045021,Customer 1 arrives,0,0,590.25
13.076260558287563,Customer 3 arrives,0,0,590.25
13.020641979004756,Bike returned,-6,6,590.25
12.141133892472485,Bike returned,-13,19,590.25
12.069398309934174,Customer 2 arrives,0,19,590.25
12.05441333853436,Customer 3 arrives,8,11,600.25
12.04246892573361,Customer 1 arrives,0,11,600.25
11.125252498369425,Bike returned,-2,13,600.25
11.033774140038965,Customer 2 arrives,1,12,600.25
11.016267623786987,Customer 3 arrives,2,10,602.75
11.002023482039617,Customer 1 arrives,6,4,602.75
10.373686211989952,Bike returned,-6,10,602.75
10.112544177431998,Customer 3 arrives,8,2,612.75
10.017614175366274,Customer 1 arrives,2,0,612.75
10.00405667811572,Customer 2 arrives,0,0,612.75
9.02558103150151,Customer 3 arrives,0,0,612.75
9.019176878250345,Bike returned,-3,3,612.75
9.012696267434933,Customer 1 arrives,3,0,611.75
9.006956408862502,Customer 2 arrives,0,0,611.75
8.178747872865953,Customer 3 arrives,0,0,611.75
8.091730982621762,Customer 1 arrives,0,0,599.75
8.072005459380927,Customer 2 arrives,0,0,599.25
8.013051886464213,Bike returned,-4,4,599.25
7.086105200287132,Customer 1 arrives,3,1,599.25
7.057677630282657,Customer 2 arrives,1,0,599.25
7.042597862045637,Bike returned,-4,4,599.25
7.031020581080802,Customer 3 arrives,1,3,600.5
6.1576748004271,Bike returned,-10,13,600.5
6.0751690977019726,Customer 2 arrives,3,10,600.5
6.03360039568931,Customer 3 arrives,6,4,608.0
6.008797684232919,Customer 1 arrives,4,0,604.0
5.048038531670374,Bike returned,-6,6,604.0
5.032548869158161,Customer 3 arrives,4,2,609.0
5.031412280236258,Customer 1 arrives,2,0,609.0
5.008064603177994,Customer 2 arrives,0,0,608.5
4.099209209152529,Customer 1 arrives,0,0,605.5
4.041165270632839,Bike returned,-6,6,605.5
4.008292977892624,Customer 3 arrives,3,3,609.25
4.008261090824102,Customer 2 arrives,3,0,609.25
3.1419230349518448,Customer 1 arrives,0,0,607.25
3.0371341615260325,Customer 3 arrives,0,0,607.25
3.0199038245234053,Customer 2 arrives,0,0,607.25
3.006105430511523,Bike returned,-7,7,607.25
2.3221215742191594,Customer 3 arrives,5,2,613.5
2.0279910096014917,Customer 2 arrives,0,2,613.5
